"id","Completo","1","2","3","4","5","6","7","7 [Outro]","8 [Ensino fundamental] [Completo]","8 [Ensino fundamental] [Cursando]","8 [Ensino médio] [Completo]","8 [Ensino médio] [Cursando]","8 [Ensino técnico] [Completo]","8 [Ensino técnico] [Cursando]","8 [Ensino superior] [Completo]","8 [Ensino superior] [Cursando]","1","1 [Outro]","2 [Em casa]","2 [Na escola]","2 [Na lan-house]","2 [Em espaços públicos]","2 [Outros]","3","4 [Computador]","4 [Notebook / Laptop]","4 [Celular / Smartphone / Palmtop]","4 [Video-game]","4 [Outros]","5","6 [E-mail]","6 [Jogos]","6 [Blogs]","6 [Fóruns]","6 [Portais/Notícias]","6 [M.I.]","6 [Sites de relacionamento]","6 [Bate-papo]","6 [Vídeos]","6 [Outros]","7","8 [Orkut]","8 [MySpace]","8 [Facebook]","8 [Twitter]","8 [Não uso sites de relacionamento]","8 [Outro]","1 [Acho importante poder manter contato com os outros participantes da feira após o fim da Febrace]","1 [É possível que um grupo trabalhe num mesmo projeto sem estar na mesma cidade, pela Internet]","1 [A idéia de uma feira de ciências virtual na internet é interessante]","2","3","4","5","6"
"17","Y","Masculino","18","Pouso Alegre ","Minas Gerais","Escola Técnica de Eletrônica ""FMC""","Particular","Finalista","","1","0","0","1","0","1","0","0","Outro","10","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","De vez em quando","1 a 3 vezes por semana","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Neutro","Sim","Muito bom, pois nos informa tudo que precisamos e dúvidas.","Não","",""
"18","Y","Masculino","17","Santa Rita do Sapucaí","Minas Gerais","Escola Técnica de Eletrônica ""FMC""","Particular","Finalista","","1","0","0","1","0","1","0","0","Outro","8","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Neutro","Sim","Muito bom, pois informa todas as informações que precisamos.","Não","",""
"19","Y","Masculino","16","Rio Bonito","Rio de Janeiro","Escola Técnica de Eletrônica ""FMC""","Particular","Finalista","","1","0","0","1","0","1","0","0","Outro","11","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Discordo","Neutro","Sim","Ótimo, pois ele contém todas as informações necessárias.","Sim","Um pouco complicado para algumas pessoas.",""
"20","Y","Feminino","17","Cubatão ","São Paulo","EE Proessor José da Costa","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","9","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","Nunca","","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","Nunca","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","Nunca","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","É um site super informativo que permite ampliar meus conhecimentos.","Não","",""
"21","Y","Feminino","17","Cubatão ","São Paulo","EE Professor josé da Costa","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","12","Todos os dias","Nunca","Nunca","Nunca","Nunca","","Todos os dias","De vez em quando","De vez em quando","Nunca","Nunca","","Todos os dias","De vez em quando","Nunca","Nunca","De vez em quando","Todos os dias","Todos os dias","De vez em quando","De vez em quando","Nunca","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Neutro","Sim","É um site interessante, pois nos mantém informados sobre o projeto que estão envolvidos na feira.","Não","",""
"22","Y","Feminino","17","Cubatão","São Paulo","EE Professor José da Costa","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","13","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","1 a 3 vezes por semana","Todos os dias","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","O site é nteressante, pois nele se obtem os projetos finalistas.","Não","",""
"23","Y","Feminino","50","Santos ","São Paulo","EE Professor José da Costa","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","40","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","Nunca","","Todos os dias","Nunca","Todos os dias","De vez em quando","Todos os dias","Nunca","Nunca","Nunca","De vez em quando","","","Não","Não","Não","Não","Sim","","Concordo","Concordo","Concordo","Sim","Facilitador, prático, interessante.","Sim","Facilita muito o trabalaho.",""
"24","Y","Masculino","38","Cubatão","Sâo Paulo","EE Professor José da Escola","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","16","Todos os dias","De vez em quando","Nunca","De vez em quando","Nunca","","Todos os dias","Nunca","De vez em quando","Nunca","Nunca","","","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","De vez em quando","Nunca","Nunca","1 a 3 vezes por semana","Nunca","","Não","Não","Não","Não","Sim","","Concordo","Concordo","Concordo","Sim","Informações, boa nnvegabilidade, poderia ser mais diretos para a solução de dúvidas. ","Sim","Eficiente.",""
"25","Y","Feminino","14","Imperatriz","Maranhão","Complexo Educacional Dom Bosco","Particular","Finalista","","1","0","0","1","0","0","0","0","Outro","11","Todos os dias","De vez em quando","Nunca","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","Nunca","","","De vez em quando","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","Todos os dias","Todos os dias","","Nunca","Todos os dias","","","Sim","Não","Não","Não","Não","Sonico","Concordo","Neutro","Neutro","N/A","Acho que deveria dar um espaço maior aos projetos aceitos... uma página, portal, quem sabe...","Sim","Gosto, É prático e seguro.","Internet é algo muito bom, mas deve-se ter cuidado...já roubaram várias contas minhas por exemplo."
"26","Y","Masculino","48","Teresina ","Piauí","Educação Básica Professor E. Resende ","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","20","Todos os dias","Todos os dias","Nunca","Nunca","Nunca","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","Todos os dias","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","Nunca","De vez em quando","De vez em quando","De vez em quando","Nunca","","Não","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","É bastante informativo e esclarecedor.","Sim","É prático e rápido.","Que seja criado um momento de socialização dos trabalhos apresentados entre alunos."
"27","Y","Masculino","19","Leopoldina","Minas Gerais","CEFET ","Pública","Finalista","","0","0","0","0","0","1","0","0","Outro","12","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","Bem estruturado.","Sim","Bem estruturado.",""
"28","Y","Masculino","","Juiz de Fora","Minas Gerais","CEFET","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","19","Todos os dias","Todos os dias","Nunca","Nunca","Nunca","","Todos os dias","Todos os dias","De vez em quando","Nunca","Nunca","","Todos os dias","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","Contém as principais informações sobre o evento.","Sim","Agiliza o processo de seleção dos trabalhos.",""
"29","Y","Feminino","","Imperatriz","Maranhão","Complexo Educacional Dom Bosco ","Particular","Finalista","","0","0","0","1","0","0","0","0","","","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","De vez em quando","De vez em quando","De vez em quando","Nunca","","","De vez em quando","Nunca","Nunca","Nunca","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo","Sim","traz muito conhecimento.","Não","",""
"30","Y","Feminino","","Imperatriz ","Maranhão","Complexo Educacional Dom Bosco","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Nunca","Nunca","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","De aprendermos um pouco mais do mundo de hoje.","Não","",""
"31","Y","Masculino","17","Osasco","São Paulo","EEFMEPJA Embaixador Assis Chateaubriand","Fundação","Finalista","","0","0","0","1","0","0","0","0","","","Todos os dias","De vez em quando","Nunca","Nunca","Nunca","","Todos os dias","Todos os dias","De vez em quando","Nunca","Nunca","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","Todos os dias","Nunca","De vez em quando","Nunca","","Sim","Não","Não","Não","Não","","Concordo totalmente","Neutro","Concordo","Sim","É um site bom, que expõe os projetos finalistas de forma breve, incentiva os alunos a criarem projetos científicos, mas deveria dar espaço para os alunos se relacionarem e conhecerem outros alunos.","Sim","Não tivemos nenhum problema ao submeter nosso projeto, entretanto opinamos em nos certificar enviando o projeto pessoalmente também.",""
"32","Y","Feminino","16","Osasco","São Paulo","EEFMEPJA Embaixador Assis Chateaubriand","Fundação","Finalista","","0","0","0","1","0","0","0","0","Outro","4","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","Nunca","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","Sonico","Concordo","Neutro","Concordo","Sim","É um site bom que nos informa como organizar um projeto para a Febrace.","Sim","É um meio mais eficiente de submeter o projeto e é mais seguro.",""
"33","Y","Feminino","17","Cubatão","São Paulo","EE José da Costa","Pública","Finalista","","0","0","0","1","0","1","0","0","Outro","11","De vez em quando","Nunca","De vez em quando","Nunca","","","De vez em quando","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo totalmente","Sim","Prático, eficiente e nos transmite informações rapidamente.","Sim","Eficiente.",""
"34","Y","Feminino","17","Cubatão","São Paulo","EE Professor José da Costa","Pública","Finalista","","0","0","0","1","0","1","0","0","Outro","12","Todos os dias","Nunca","De vez em quando","De vez em quando","","","Todos os dias","Nunca","De vez em quando","Nunca","","","Todos os dias","Nunca","De vez em quando","Nunca","Todos os dias","Todos os dias","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Sim","Não","Não","Não","","Concordo","Concordo totalmente","Concordo totalmente","Sim","Muito ótimo, pois o site faz com que o visitante se interesse pelo objetivo da feira e fizemos a nossa própria inscrição pelo site.","Sim","Ótimo e eficiente.",""
"35","Y","Feminino","50","Santos","São Paulo","EE Professor José da Costa","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","40","Todos os dias","1 a 3 vezes por semana","Nunca","","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","Nunca","Todos os dias","De vez em quando","Todos os dias","Nunca","Nunca","Nunca","De vez em quando","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo","Concordo","Sim","Interessante e muito estimulante.","Sim","Facilitador, prático e eficiente.",""
"36","Y","Feminino","16","Americana","São Paulo","ETEC Polivalente de Americana","Pública","Finalista","","1","0","0","1","0","1","0","0","Outro","9","Nunca","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","Nunca","","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","","Sim","Não","Não","Não","Não","Tagged","Concordo totalmente","Neutro","Discordo","Sim","Falta de informações sobre o que é, como funciona e auxílio aos finalistas.","Não","",""
"37","Y","Masculino","17","Americana","São Paulo","ETEC Polivalente de Americana","Pública","Finalista","","1","0","0","1","0","1","0","0","Outro","9","Todos os dias","Todos os dias","De vez em quando","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","Todos os dias","Todos os dias","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Discordo totalmente","Discordo totalmente","Sim","O site é bom mas o mapa do site não funciona direito.","Sim","Interessante e bem estruturado.",""
"38","Y","Masculino","","Formoso do Araguaio","Tocantins","Fundação Bradesco - Escola de Canuanã","Fundação","Finalista","","1","0","0","1","0","1","0","0","Outro","10","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","","","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","Nunca","","","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","","","Sim","Não","Sim","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","Bastante informativo.","Não","",""
"39","Y","Feminino","45","São Paulo","São Paulo","Colégio Dante Alighieri","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","18","Todos os dias","Todos os dias","","","","","Todos os dias","De vez em quando","","","","","Todos os dias","","De vez em quando","Todos os dias","Todos os dias","","De vez em quando","","","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo","Sim","Informações de fácil acesso.","Sim","O sistema é eficiente.",""
"40","Y","Feminino","15","São Paulo","São Paulo","Colégio Dante Alighieri","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","5","Todos os dias","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","","","Todos os dias","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","Gaia Online","Neutro","Discordo","Concordo","Sim","Bom, mas um pouco confuso. Daria para melhorar.","Sim","Muito bom, não tive problemas.",""
"41","Y","Feminino","15","São Paulo","São Paulo","Colégio Dante Alighieri","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","2","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","De vez em quando","Nunca","Nunca","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","Nunca","De vez em quando","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo","Neutro","Sim","Um site bom, no entanto confuso.","Não","","Embora seja um bom modo de se comunicar e obter informações, há muitas formas de se enganar e obter informações erradas sobre pessoas e outros assuntos."
"42","Y","Masculino","","São Paulo","São Paulo","Dante Alighieri","Particular","Finalista","","1","0","0","1","0","0","0","0","","","1 a 3 vezes por semana","De vez em quando","","Nunca","","","De vez em quando","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","Nunca","Nunca","De vez em quando","Nunca","","Sim","Não","Não","Não","Não","Skype","Concordo","Neutro","Discordo","Sim","Acho bem organizado, mas tem muita coisa, acaba ficando confuso.","Não","",""
"43","Y","Masculino","","São Paulo","São Paulo","Dante Alighieri","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","7","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","De vez em quando","","","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","De vez em quando","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Discordo","Sim","","Sim","Bom, eu usei muito pouco, só para me cadastrar, mas pelo que vi é muito bem formulado.",""
"44","Y","Masculino","","São Paulo","São Paulo","Dante Alighieri","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","7","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Discordo","Sim","Usei pouco, apenas para cadastrar o projeto.","Não","",""
"45","Y","Feminino","15","Teresina","Piaui","Fundação Bradesco","Fundação","Finalista","","0","0","0","1","0","0","0","0","Outro","10","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","Nunca","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","É um site muito bom, em que aprendemos várias coisas.","Sim","Importante e prático.",""
"46","Y","Masculino","25","Belem","Pará","Escola Técnica Magalhães Barata","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","0","1","Outro","17","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","Nunca","Nunca","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","Das poucas vezes que entrei, gostei muito.","Não","",""
"47","Y","Masculino","18","Ananaindeva","Pará","Escola Técnica Magalhães Barata","Pública","Finalista","","0","0","0","0","0","1","0","0","Outro","13","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Nunca","De vez em quando","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Neutro","Sim","`´E um site importante para o desenvolvimento de novas tecnologias.","Sim","Deveria ter uma capacidade de UPloads maior, para que possamos enviar documento de maior tamanho. ",""
"48","Y","Masculino","22","Belém ","Pará","Escola de Ensino Tecnológico do Pará","Pública","Acompanhante","","0","0","0","0","0","1","0","0","Outro","12","Nunca","Nunca","Todos os dias","Nunca","Nunca","","Todos os dias","De vez em quando","Nunca","Nunca","Nunca","","Todos os dias","De vez em quando","Todos os dias","Nunca","De vez em quando","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Nunca","","Sim","Não","Sim","Não","Não","","Concordo","Neutro","Neutro","Sim","O site da Febrace é um site muito informativo e de grande ajuda.","Não","",""
"49","Y","Feminino","19","Barcarena","Pará","Escola Técnica Magalhães Barata ","Pública","Finalista","","0","0","0","0","0","1","0","0","Outro","14","Nunca","De vez em quando","1 a 3 vezes por semana","De vez em quando","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","De vez em quando","Nunca","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo totalmente","Sim","Tem bastante informação para quem e para nós que queremos desenvolver um projeto.","Não","",""
